model,interval,prev_step,next_step,mean_transition_strength,median_transition_strength,mean_abs_relative_delta,n
EleutherAI/pythia-160m-deduped,26000->27000,26000,27000,0.0016902611311905879,0.0008806440125236913,0.003086644067676997,48
EleutherAI/pythia-160m-deduped,23000->24000,23000,24000,0.0016173047815663498,0.0003484730346476493,0.0032732796262939586,48
EleutherAI/pythia-160m-deduped,35000->36000,35000,36000,0.0015665369596063892,0.0,0.0035986948912469143,48
EleutherAI/pythia-160m-deduped,30000->31000,30000,31000,0.0015180741557694758,4.094936823336125e-05,0.0030287808529353296,48
EleutherAI/pythia-160m-deduped,25000->26000,25000,26000,0.0015144638323223271,0.0006901319760336624,0.0030998476311398827,48
EleutherAI/pythia-160m-deduped,37000->38000,37000,38000,0.0014695527091646975,1.8437902172469914e-06,0.003255001838631867,48
EleutherAI/pythia-160m-deduped,84000->85000,84000,85000,0.001429079469227993,0.0,0.005780946433512026,48
EleutherAI/pythia-160m-deduped,24000->25000,24000,25000,0.0014287043581369936,0.00012479487116552184,0.0031677880286995635,48
EleutherAI/pythia-160m-deduped,28000->29000,28000,29000,0.0013752030902437924,0.0007800137978964032,0.0027324988777104246,48
EleutherAI/pythia-160m-deduped,117000->118000,117000,118000,0.001282769831365678,3.098833123182027e-05,0.0033515751267414883,48
EleutherAI/pythia-160m-deduped,29000->30000,29000,30000,0.00127376073268026,0.00028464858900034706,0.00247451403431346,48
EleutherAI/pythia-160m-deduped,36000->37000,36000,37000,0.0011849539730137036,0.0,0.003153380972051709,48
EleutherAI/pythia-160m-deduped,120000->121000,120000,121000,0.0011753269471929523,8.40075573576911e-07,0.003374594452630173,48
EleutherAI/pythia-160m-deduped,34000->35000,34000,35000,0.0011043346770686102,1.3971308689429431e-05,0.0037095136167668344,48
EleutherAI/pythia-160m-deduped,104000->105000,104000,105000,0.0010738773290549027,2.344806744372143e-06,0.00528095818839265,48
EleutherAI/pythia-160m-deduped,39000->40000,39000,40000,0.0010010673839692533,0.0,0.002607312845378174,48
EleutherAI/pythia-160m-deduped,118000->119000,118000,119000,0.00096367029204141,0.0,0.0031310073427273273,48
EleutherAI/pythia-160m-deduped,119000->120000,119000,120000,0.0009357475829187517,-1.3873465313296899e-05,0.003281281739441403,48
EleutherAI/pythia-160m-deduped,73000->74000,73000,74000,0.0009163889987592494,0.0,0.0048999694502006525,48
EleutherAI/pythia-160m-deduped,31000->32000,31000,32000,0.0008767352312727465,5.619406358403501e-06,0.002816533758759006,48
EleutherAI/pythia-160m-deduped,106000->107000,106000,107000,0.0008152029943523071,0.0001289858540330779,0.0040139033459730454,48
EleutherAI/pythia-160m-deduped,114000->115000,114000,115000,0.0007827729616572502,8.356720694856878e-05,0.0030127946415280885,48
EleutherAI/pythia-160m-deduped,107000->108000,107000,108000,0.0007153256387133601,0.0001363841545857405,0.003949020315571507,48
EleutherAI/pythia-160m-deduped,99000->100000,99000,100000,0.0006825024707754281,0.00016572416895687764,0.004898194888739192,48
EleutherAI/pythia-160m-deduped,71000->72000,71000,72000,0.000673459654974846,0.0,0.0044190613361902815,48
EleutherAI/pythia-160m-deduped,27000->28000,27000,28000,0.0006707505029687715,0.00011524743378048345,0.002454682628047841,48
EleutherAI/pythia-160m-deduped,40000->41000,40000,41000,0.0006481512811626129,0.0,0.0025409683229190654,48
EleutherAI/pythia-160m-deduped,96000->97000,96000,97000,0.0006461010661963583,-1.0045070257024138e-05,0.004632673133183349,48
EleutherAI/pythia-160m-deduped,98000->99000,98000,99000,0.0006172988885084835,0.0,0.0047418161062301135,48
EleutherAI/pythia-160m-deduped,121000->122000,121000,122000,0.0006095792715273314,0.0,0.0024824344337323724,48
EleutherAI/pythia-160m-deduped,89000->90000,89000,90000,0.0005932476381288284,0.0,0.004949926612563631,48
EleutherAI/pythia-160m-deduped,62000->63000,62000,63000,0.0005920398755962861,0.0,0.005321662240868191,48
EleutherAI/pythia-160m-deduped,77000->78000,77000,78000,0.0005780939017038182,1.7732845690253495e-05,0.0036993488952811685,48
EleutherAI/pythia-160m-deduped,38000->39000,38000,39000,0.0005776955532282574,0.0,0.0025242683883926202,48
EleutherAI/pythia-160m-deduped,97000->98000,97000,98000,0.000574813490082306,0.0,0.004487426131952945,48
EleutherAI/pythia-160m-deduped,80000->81000,80000,81000,0.0005655419920462051,0.0,0.003845659149491918,48
EleutherAI/pythia-160m-deduped,50000->51000,50000,51000,0.0005549476002128024,0.0,0.0027352431412823244,48
EleutherAI/pythia-160m-deduped,103000->104000,103000,104000,0.000474649685097485,0.00012326526132693617,0.004129175569975469,48
EleutherAI/pythia-160m-deduped,41000->42000,41000,42000,0.0003962044431929735,-2.4572852039789867e-06,0.0027065644221477714,48
EleutherAI/pythia-160m-deduped,93000->94000,93000,94000,0.00038550550438770306,0.0,0.004670486694795675,48
EleutherAI/pythia-160m-deduped,116000->117000,116000,117000,0.0003839829842766267,0.0,0.002365444181087427,48
EleutherAI/pythia-160m-deduped,90000->91000,90000,91000,0.00035839549578165674,-1.3138565428686072e-06,0.004478263471309291,48
EleutherAI/pythia-160m-deduped,109000->110000,109000,110000,0.0003366306082309757,0.0,0.00276020588662025,48
EleutherAI/pythia-160m-deduped,111000->112000,111000,112000,0.0003351070816158556,0.0,0.002508658959741963,48
EleutherAI/pythia-160m-deduped,108000->109000,108000,109000,0.0003194557569931421,0.0,0.0030754806071163873,48
EleutherAI/pythia-160m-deduped,83000->84000,83000,84000,0.0003136703061204868,0.0,0.0037181619791682983,48
EleutherAI/pythia-160m-deduped,100000->101000,100000,101000,0.00020095990113543365,0.0,0.004680279664265249,48
EleutherAI/pythia-160m-deduped,70000->71000,70000,71000,0.00018781950061225964,0.0,0.0030698936639561836,48
EleutherAI/pythia-160m-deduped,113000->114000,113000,114000,0.00012971260520138402,0.0,0.002221440043525057,48
EleutherAI/pythia-160m-deduped,101000->102000,101000,102000,0.0001279407550086219,0.0,0.004035202956440162,48
EleutherAI/pythia-160m-deduped,92000->93000,92000,93000,0.00011882814630506849,0.0,0.004470620678616314,48
EleutherAI/pythia-160m-deduped,47000->48000,47000,48000,9.160874537673842e-05,-4.799907130160302e-05,0.0026280451631200924,48
EleutherAI/pythia-160m-deduped,82000->83000,82000,83000,7.129230735925573e-05,0.0,0.003246893780189608,48
EleutherAI/pythia-160m-deduped,42000->43000,42000,43000,7.104119754681784e-05,-0.0001259023909262325,0.002492730369831613,48
EleutherAI/pythia-160m-deduped,44000->45000,44000,45000,6.720371796086677e-05,0.0,0.0019295607378964966,48
EleutherAI/pythia-160m-deduped,81000->82000,81000,82000,5.570833158356022e-05,0.0,0.0030377932253340865,48
EleutherAI/pythia-160m-deduped,110000->111000,110000,111000,5.521371611349093e-05,0.0,0.0022825679182848445,48
EleutherAI/pythia-160m-deduped,46000->47000,46000,47000,4.979757544515908e-05,0.0,0.0019189120138956746,48
EleutherAI/pythia-160m-deduped,115000->116000,115000,116000,6.861808869194932e-06,-2.7783668967520062e-05,0.002182494174966213,48
EleutherAI/pythia-160m-deduped,8->16,8,16,5.3342875958383525e-06,0.0,1.770752905856523e-05,48
EleutherAI/pythia-160m-deduped,1->2,1,2,2.081233512206398e-06,2.4124227883820985e-08,4.020115614154599e-06,48
EleutherAI/pythia-160m-deduped,0->1,0,1,0.0,0.0,0.0,44
EleutherAI/pythia-160m-deduped,2->4,2,4,-3.0225274949423986e-08,2.6742354109986648e-09,2.101437111583113e-06,48
EleutherAI/pythia-160m-deduped,4->8,4,8,-3.7178939814713985e-07,0.0,3.543644711257709e-06,48
EleutherAI/pythia-160m-deduped,125000->126000,125000,126000,-2.86383387115569e-06,0.0,0.0019632393794148666,48
EleutherAI/pythia-160m-deduped,105000->106000,105000,106000,-1.8556377363965664e-05,0.0,0.0034790563654158893,48
EleutherAI/pythia-160m-deduped,43000->44000,43000,44000,-3.637222135269662e-05,-0.0001178045554639866,0.0019348269504216255,48
EleutherAI/pythia-160m-deduped,102000->103000,102000,103000,-4.2037045745173245e-05,0.0,0.0038881250562977855,48
EleutherAI/pythia-160m-deduped,95000->96000,95000,96000,-6.122280096809734e-05,0.0,0.0044256346897711294,48
EleutherAI/pythia-160m-deduped,123000->124000,123000,124000,-6.228740108793977e-05,0.0,0.0017876276360009552,48
EleutherAI/pythia-160m-deduped,91000->92000,91000,92000,-6.672610287417314e-05,-4.504045834436537e-06,0.0037775872953493728,48
EleutherAI/pythia-160m-deduped,56000->57000,56000,57000,-9.83028250346652e-05,0.0,0.002147271169430986,48
EleutherAI/pythia-160m-deduped,49000->50000,49000,50000,-0.00011443656358732722,-1.680518759564097e-06,0.0025967326386469084,48
EleutherAI/pythia-160m-deduped,45000->46000,45000,46000,-0.00011669531156257277,-0.0004505610817478872,0.0024940055309940006,48
EleutherAI/pythia-160m-deduped,53000->54000,53000,54000,-0.0001381492866780788,-3.260878249538212e-05,0.0027005676809678807,48
EleutherAI/pythia-160m-deduped,67000->68000,67000,68000,-0.00015328778059007066,0.0,0.0020702184478847193,48
EleutherAI/pythia-160m-deduped,48000->49000,48000,49000,-0.0001853847875205284,-0.00013502813183586529,0.0022120474895294374,48
EleutherAI/pythia-160m-deduped,122000->123000,122000,123000,-0.0001854144321820261,0.0,0.0022561207776821755,48
EleutherAI/pythia-160m-deduped,86000->87000,86000,87000,-0.0002515992239688654,0.0,0.0030731569506000805,48
EleutherAI/pythia-160m-deduped,72000->73000,72000,73000,-0.00025339512080261055,0.0,0.0029949797481752557,48
EleutherAI/pythia-160m-deduped,126000->127000,126000,127000,-0.0003311008432208175,0.0,0.0016379422741737034,48
EleutherAI/pythia-160m-deduped,112000->113000,112000,113000,-0.00034117073523082437,-1.3194944122996592e-05,0.0018811289236540926,48
EleutherAI/pythia-160m-deduped,130000->131000,130000,131000,-0.00034432333305021897,-2.9622292888250848e-06,0.0015335724643162324,48
EleutherAI/pythia-160m-deduped,76000->77000,76000,77000,-0.00035445722139101676,-4.329440155208629e-05,0.0029794527142065932,48
EleutherAI/pythia-160m-deduped,61000->62000,61000,62000,-0.0003569584777493679,0.0,0.0019711303710557952,48
EleutherAI/pythia-160m-deduped,51000->52000,51000,52000,-0.00040372922718689643,-0.0004538399062759858,0.0028097805890764855,48
EleutherAI/pythia-160m-deduped,54000->55000,54000,55000,-0.00046932967512565736,-8.328826141515834e-06,0.0022892756217350245,48
EleutherAI/pythia-160m-deduped,137000->138000,137000,138000,-0.0004774595196778692,0.0,0.0012435482263464866,48
EleutherAI/pythia-160m-deduped,132000->133000,132000,133000,-0.000495757459747716,-0.00014810903992256813,0.001643133505616991,48
EleutherAI/pythia-160m-deduped,68000->69000,68000,69000,-0.0005017850440508252,-0.00016329427896930604,0.0025140851522419522,48
EleutherAI/pythia-160m-deduped,87000->88000,87000,88000,-0.0005047567266640375,0.0,0.0025315099684940622,48
EleutherAI/pythia-160m-deduped,141000->142000,141000,142000,-0.0005054660285464715,-0.0001135077739528379,0.001419337269084387,48
EleutherAI/pythia-160m-deduped,131000->132000,131000,132000,-0.0005291784094437769,-2.383735091736595e-05,0.0014831048653578636,48
EleutherAI/pythia-160m-deduped,88000->89000,88000,89000,-0.0005396557107053413,0.0,0.002482976468851361,48
EleutherAI/pythia-160m-deduped,124000->125000,124000,125000,-0.0005522169084210441,-1.93324644382899e-05,0.0015985942508047674,48
EleutherAI/pythia-160m-deduped,65000->66000,65000,66000,-0.0006170950430041996,0.0,0.002015433859959882,48
EleutherAI/pythia-160m-deduped,59000->60000,59000,60000,-0.0006307814365902079,-3.1619131078954206e-05,0.001660647401622871,48
EleutherAI/pythia-160m-deduped,57000->58000,57000,58000,-0.0006565205238492424,-1.9750703285934537e-05,0.0017421807336698023,48
EleutherAI/pythia-160m-deduped,64000->65000,64000,65000,-0.0006682506738654312,0.0,0.0018854347243185872,48
EleutherAI/pythia-160m-deduped,66000->67000,66000,67000,-0.0006949369564351959,0.0,0.0019202849289508227,48
EleutherAI/pythia-160m-deduped,142000->143000,142000,143000,-0.0007052393381376575,-0.00011623223945050742,0.0014049129878213032,48
EleutherAI/pythia-160m-deduped,58000->59000,58000,59000,-0.000725548076002809,-0.00010560117689982729,0.002270209074482216,48
EleutherAI/pythia-160m-deduped,128000->129000,128000,129000,-0.000773119775465558,-0.00010537216748091075,0.0014523754672927781,48
EleutherAI/pythia-160m-deduped,60000->61000,60000,61000,-0.000806972331985253,-6.28572292872597e-05,0.0018838961326289874,48
EleutherAI/pythia-160m-deduped,138000->139000,138000,139000,-0.0008154489009802139,-6.571988657929685e-05,0.0012314591944182158,48
EleutherAI/pythia-160m-deduped,139000->140000,139000,140000,-0.0008199651025256697,-7.38687559201166e-05,0.0013545623736001052,48
EleutherAI/pythia-160m-deduped,135000->136000,135000,136000,-0.0008344053574452052,-2.9292887222255933e-05,0.0013272538701836912,48
EleutherAI/pythia-160m-deduped,140000->141000,140000,141000,-0.0009308553181031636,-1.0123709861321985e-05,0.0014371091066447293,48
EleutherAI/pythia-160m-deduped,127000->128000,127000,128000,-0.0009346466699960595,-0.00019370225816218282,0.001777209134799758,48
EleutherAI/pythia-160m-deduped,129000->130000,129000,130000,-0.0009356761226330928,-0.00012584740765198837,0.0015865309957403713,48
EleutherAI/pythia-160m-deduped,52000->53000,52000,53000,-0.0009628101202602968,-2.242280214844892e-05,0.0025055062168280384,48
EleutherAI/pythia-160m-deduped,134000->135000,134000,135000,-0.0009704181236291038,-0.00033513956930220843,0.0014751143793876127,48
EleutherAI/pythia-160m-deduped,136000->137000,136000,137000,-0.0009782865517424754,-6.422837179697073e-05,0.001313472251341533,48
EleutherAI/pythia-160m-deduped,55000->56000,55000,56000,-0.0009832723916036394,-0.00035954820807043133,0.0022171944957847284,48
EleutherAI/pythia-160m-deduped,133000->134000,133000,134000,-0.0010756439009770948,-0.00018088825193805736,0.001850775590031028,48
EleutherAI/pythia-160m-deduped,74000->75000,74000,75000,-0.0011098290014984185,-0.00018623590936180622,0.0027341461615298357,48
EleutherAI/pythia-160m-deduped,79000->80000,79000,80000,-0.0011780470781042655,-4.588007257576199e-06,0.0023538643803435234,48
EleutherAI/pythia-160m-deduped,78000->79000,78000,79000,-0.0011912790462058108,-0.00031613682183358465,0.002481770023017224,48
EleutherAI/pythia-160m-deduped,85000->86000,85000,86000,-0.0012544000365932336,-0.0002765385103404536,0.0033003248300949757,48
EleutherAI/pythia-160m-deduped,69000->70000,69000,70000,-0.0012596867178671157,-0.00032481778018581225,0.002061415482522443,48
EleutherAI/pythia-160m-deduped,75000->76000,75000,76000,-0.0013499440989774155,-0.000408881073928051,0.002227650877994532,48
EleutherAI/pythia-160m-deduped,63000->64000,63000,64000,-0.0015909624258091488,-0.0010338450179334792,0.0023917557968345248,48
