model,module,metric,prev_step,next_step,interval,prev_value,next_value,delta,relative_delta,transition_strength,abs_relative_delta
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.2,1000,2000,1000->2000,1.980018063385384,1.6076371430118068,-0.3723809203735773,-0.18806945616278967,-0.18806945616278967,0.18806945616278967
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.2,2000,3000,2000->3000,1.6076371430118068,1.7890169981969792,0.1813798551851724,0.1128238769385832,0.1128238769385832,0.1128238769385832
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.2,3000,4000,3000->4000,1.7890169981969792,1.9373032380397743,0.1482862398427951,0.08288699324386474,0.08288699324386474,0.08288699324386474
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.2,4000,5000,4000->5000,1.9373032380397743,2.0521273843803964,0.1148241463406221,0.05927009467900626,0.05927009467900626,0.05927009467900626
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.2,5000,6000,5000->6000,2.0521273843803964,2.157515501599749,0.10538811721935248,0.05135554353080338,0.05135554353080338,0.05135554353080338
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.2,6000,7000,6000->7000,2.157515501599749,2.2415777906931345,0.08406228909338553,0.038962542346053265,0.038962542346053265,0.038962542346053265
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.2,7000,8000,7000->8000,2.2415777906931345,2.310381888681805,0.0688040979886706,0.030694494866209614,0.030694494866209614,0.030694494866209614
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.3,0,1,0->1,3.052957733320933,3.052957733320933,0.0,0.0,-0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.3,1,2,1->2,3.052957733320933,3.0529526282078217,-5.105113111358861e-06,-1.6721859774337496e-06,1.6721859774337496e-06,1.6721859774337496e-06
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.3,2,4,2->4,3.0529526282078217,3.0529970872796386,4.445907181693798e-05,1.45626471259799e-05,-1.45626471259799e-05,1.45626471259799e-05
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.3,4,8,4->8,3.0529970872796386,3.052839708799309,-0.0001573784803294842,-5.1548847191879944e-05,5.1548847191879944e-05,5.1548847191879944e-05
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.3,8,16,8->16,3.052839708799309,3.0528387176680774,-9.911312317534282e-07,-3.246587853585403e-07,3.246587853585403e-07,3.246587853585403e-07
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.3,16,32,16->32,3.0528387176680774,3.052880561706072,4.184403799456504e-05,1.3706599615755025e-05,-1.3706599615755025e-05,1.3706599615755025e-05
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.3,32,64,32->64,3.052880561706072,3.0525236206795885,-0.00035694102648342607,-0.00011691942061560254,0.00011691942061560254,0.00011691942061560254
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.3,64,128,64->128,3.0525236206795885,3.0513888440916332,-0.001134776587955244,-0.00037175030531040907,0.00037175030531040907,0.00037175030531040907
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.3,128,256,128->256,3.0513888440916332,3.0412862819420434,-0.010102562149589822,-0.0033108078536591553,0.0033108078536591553,0.0033108078536591553
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.3,256,512,256->512,3.0412862819420434,2.819342598043902,-0.22194368389814123,-0.07297691283319238,0.07297691283319238,0.07297691283319238
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.3,512,1000,512->1000,2.819342598043902,1.8035175574026088,-1.0158250406412934,-0.36030564052262615,0.36030564052262615,0.36030564052262615
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.3,1000,2000,1000->2000,1.8035175574026088,1.342950215532726,-0.4605673418698828,-0.25537169847845986,0.25537169847845986,0.25537169847845986
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.3,2000,3000,2000->3000,1.342950215532726,1.4325989049403223,0.0896486894075963,0.06675503557067258,-0.06675503557067258,0.06675503557067258
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.3,3000,4000,3000->4000,1.4325989049403223,1.514434320198736,0.08183541525841376,0.05712374550625923,-0.05712374550625923,0.05712374550625923
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.3,4000,5000,4000->5000,1.514434320198736,1.5824346862762957,0.06800036607755966,0.04490149567436586,-0.04490149567436586,0.04490149567436586
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.3,5000,6000,5000->6000,1.5824346862762957,1.6470585100317527,0.06462382375545705,0.04083822499333965,-0.04083822499333965,0.04083822499333965
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.3,6000,7000,6000->7000,1.6470585100317527,1.702040898406725,0.05498238837497227,0.03338217072438969,-0.03338217072438969,0.03338217072438969
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.3,7000,8000,7000->8000,1.702040898406725,1.7491250653956296,0.04708416698890461,0.027663358167804474,-0.027663358167804474,0.027663358167804474
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.5,0,1,0->1,1.76694352016048,1.76694352016048,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.5,1,2,1->2,1.76694352016048,1.7669408309337364,-2.689226743513018e-06,-1.5219653106213892e-06,-1.5219653106213892e-06,1.5219653106213892e-06
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.5,2,4,2->4,1.7669408309337364,1.7669430057436353,2.1748098988361164e-06,1.2308334612911806e-06,1.2308334612911806e-06,1.2308334612911806e-06
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.5,4,8,4->8,1.7669430057436353,1.7669607831285232,1.7777384887951442e-05,1.0061096951149022e-05,1.0061096951149022e-05,1.0061096951149022e-05
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.5,8,16,8->16,1.7669607831285232,1.766943778378106,-1.700475041732652e-05,-9.623728256837051e-06,-9.623728256837051e-06,9.623728256837051e-06
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.5,16,32,16->32,1.766943778378106,1.7669304193363766,-1.3359041729277266e-05,-7.560535820518349e-06,-7.560535820518349e-06,7.560535820518349e-06
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.5,32,64,32->64,1.7669304193363766,1.7668677803123507,-6.263902402592336e-05,-3.545075875110796e-05,-3.545075875110796e-05,3.545075875110796e-05
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.5,64,128,64->128,1.7668677803123507,1.766713993406476,-0.0001537869058747532,-8.703928363416042e-05,-8.703928363416042e-05,8.703928363416042e-05
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.5,128,256,128->256,1.766713993406476,1.76634748058538,-0.000366512821095899,-0.00020745452997120528,-0.00020745452997120528,0.00020745452997120528
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.5,256,512,256->512,1.76634748058538,1.7349966726607773,-0.031350807924602764,-0.017748947061194967,-0.017748947061194967,0.017748947061194967
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.5,512,1000,512->1000,1.7349966726607773,1.4030033313117796,-0.3319933413489977,-0.1913509959875969,-0.1913509959875969,0.1913509959875969
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.5,1000,2000,1000->2000,1.4030033313117796,1.0391194449661179,-0.3638838863456617,-0.25936067165655147,-0.25936067165655147,0.25936067165655147
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.5,2000,3000,2000->3000,1.0391194449661179,1.0495951672993278,0.010475722333209925,0.010081345685472589,0.010081345685472589,0.010081345685472589
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.5,3000,4000,3000->4000,1.0495951672993278,1.075380487379403,0.02578532008007528,0.024566919592815876,0.024566919592815876,0.024566919592815876
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.5,4000,5000,4000->5000,1.075380487379403,1.1000010822272006,0.02462059484779755,0.02289477551129148,0.02289477551129148,0.02289477551129148
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.5,5000,6000,5000->6000,1.1000010822272006,1.1253369137545541,0.025335831527353525,0.02303255145534255,0.02303255145534255,0.02303255145534255
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.5,6000,7000,6000->7000,1.1253369137545541,1.1481652985281812,0.02282838477362703,0.020285822400904388,0.020285822400904388,0.020285822400904388
EleutherAI/pythia-1b-deduped,attention.dense,alpha_tail_frac_0.5,7000,8000,7000->8000,1.1481652985281812,1.1683423970829716,0.02017709855479044,0.017573339466571265,0.017573339466571265,0.017573339466571265
EleutherAI/pythia-1b-deduped,attention.dense,effective_rank,0,1,0->1,1648.3917191606026,1648.3917191606026,0.0,0.0,-0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,effective_rank,1,2,1->2,1648.3917191606026,1648.3919904999402,0.000271339337587051,1.646085298979922e-07,-1.646085298979922e-07,1.646085298979922e-07
EleutherAI/pythia-1b-deduped,attention.dense,effective_rank,2,4,2->4,1648.3919904999402,1648.3928018562358,0.000811356295571386,4.92210772830381e-07,-4.92210772830381e-07,4.92210772830381e-07
EleutherAI/pythia-1b-deduped,attention.dense,effective_rank,4,8,4->8,1648.3928018562358,1648.3938233996048,0.0010215433690063946,6.197208382953663e-07,-6.197208382953663e-07,6.197208382953663e-07
EleutherAI/pythia-1b-deduped,attention.dense,effective_rank,8,16,8->16,1648.3938233996048,1648.3911338093344,-0.0026895902703927277,-1.6316430165006229e-06,1.6316430165006229e-06,1.6316430165006229e-06
EleutherAI/pythia-1b-deduped,attention.dense,effective_rank,16,32,16->32,1648.3911338093344,1648.3927212304293,0.001587421094882302,9.630123957375729e-07,-9.630123957375729e-07,9.630123957375729e-07
EleutherAI/pythia-1b-deduped,attention.dense,effective_rank,32,64,32->64,1648.3927212304293,1648.3809830237037,-0.01173820672556758,-7.121001308963366e-06,7.121001308963366e-06,7.121001308963366e-06
EleutherAI/pythia-1b-deduped,attention.dense,effective_rank,64,128,64->128,1648.3809830237037,1648.305279863187,-0.07570316051669579,-4.5925766734963075e-05,4.5925766734963075e-05,4.5925766734963075e-05
EleutherAI/pythia-1b-deduped,attention.dense,effective_rank,128,256,128->256,1648.305279863187,1647.501050144778,-0.804229718409033,-0.0004879130876021858,0.0004879130876021858,0.0004879130876021858
EleutherAI/pythia-1b-deduped,attention.dense,effective_rank,256,512,256->512,1647.501050144778,1637.5881457370565,-9.912904407721499,-0.006016933589723887,0.006016933589723887,0.006016933589723887
EleutherAI/pythia-1b-deduped,attention.dense,effective_rank,512,1000,512->1000,1637.5881457370565,1565.5668515330756,-72.02129420398091,-0.04398010231782977,0.04398010231782977,0.04398010231782977
EleutherAI/pythia-1b-deduped,attention.dense,effective_rank,1000,2000,1000->2000,1565.5668515330756,1438.0541868495736,-127.51266468350195,-0.08144824001519678,0.08144824001519678,0.08144824001519678
EleutherAI/pythia-1b-deduped,attention.dense,effective_rank,2000,3000,2000->3000,1438.0541868495736,1442.2110920466785,4.156905197104834,0.002890645731654659,-0.002890645731654659,0.002890645731654659
EleutherAI/pythia-1b-deduped,attention.dense,effective_rank,3000,4000,3000->4000,1442.2110920466785,1454.0561932078551,11.845101161176672,0.008213153557408146,-0.008213153557408146,0.008213153557408146
EleutherAI/pythia-1b-deduped,attention.dense,effective_rank,4000,5000,4000->5000,1454.0561932078551,1464.8808540575305,10.82466084967541,0.007444458405554919,-0.007444458405554919,0.007444458405554919
EleutherAI/pythia-1b-deduped,attention.dense,effective_rank,5000,6000,5000->6000,1464.8808540575305,1475.3696848678223,10.488830810291802,0.007160193800908169,-0.007160193800908169,0.007160193800908169
EleutherAI/pythia-1b-deduped,attention.dense,effective_rank,6000,7000,6000->7000,1475.3696848678223,1484.1209577986733,8.751272930850973,0.00593157973937562,-0.00593157973937562,0.00593157973937562
EleutherAI/pythia-1b-deduped,attention.dense,effective_rank,7000,8000,7000->8000,1484.1209577986733,1491.606716485862,7.485758687188763,0.0050439006658136755,-0.0050439006658136755,0.0050439006658136755
EleutherAI/pythia-1b-deduped,attention.dense,frobenius_norm,0,1,0->1,5.657892896417417,5.657892896417417,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,frobenius_norm,1,2,1->2,5.657892896417417,5.657903434691897,1.053827447972111e-05,1.8625793511206428e-06,1.8625793511206428e-06,1.8625793511206428e-06
EleutherAI/pythia-1b-deduped,attention.dense,frobenius_norm,2,4,2->4,5.657903434691897,5.657928215945559,2.478125366245365e-05,4.3799357745310725e-06,4.3799357745310725e-06,4.3799357745310725e-06
EleutherAI/pythia-1b-deduped,attention.dense,frobenius_norm,4,8,4->8,5.657928215945559,5.657897663858398,-3.055208716151725e-05,-5.399871825062727e-06,-5.399871825062727e-06,5.399871825062727e-06
EleutherAI/pythia-1b-deduped,attention.dense,frobenius_norm,8,16,8->16,5.657897663858398,5.657937746423065,4.008256466736526e-05,7.084356601816639e-06,7.084356601816639e-06,7.084356601816639e-06
EleutherAI/pythia-1b-deduped,attention.dense,frobenius_norm,16,32,16->32,5.657937746423065,5.6581874682954405,0.0002497218723753747,4.41365535584417e-05,4.41365535584417e-05,4.41365535584417e-05
EleutherAI/pythia-1b-deduped,attention.dense,frobenius_norm,32,64,32->64,5.6581874682954405,5.658948200095277,0.0007607317998363783,0.00013444796661454881,0.00013444796661454881,0.00013444796661454881
EleutherAI/pythia-1b-deduped,attention.dense,frobenius_norm,64,128,64->128,5.658948200095277,5.661607477416967,0.0026592773216904675,0.000469924308839799,0.000469924308839799,0.000469924308839799
EleutherAI/pythia-1b-deduped,attention.dense,frobenius_norm,128,256,128->256,5.661607477416967,5.677693818443975,0.01608634102700801,0.002841302773314894,0.002841302773314894,0.002841302773314894
EleutherAI/pythia-1b-deduped,attention.dense,frobenius_norm,256,512,256->512,5.677693818443975,5.847708488835956,0.17001467039198026,0.029944318208857627,0.029944318208857627,0.029944318208857627
EleutherAI/pythia-1b-deduped,attention.dense,frobenius_norm,512,1000,512->1000,5.847708488835956,7.036325790560296,1.1886173017243404,0.20326206478885941,0.20326206478885941,0.20326206478885941
EleutherAI/pythia-1b-deduped,attention.dense,frobenius_norm,1000,2000,1000->2000,7.036325790560296,12.178665178806407,5.142339388246111,0.7308273580999012,0.7308273580999012,0.7308273580999012
EleutherAI/pythia-1b-deduped,attention.dense,frobenius_norm,2000,3000,2000->3000,12.178665178806407,16.84917111341209,4.670505934605684,0.38349900141215987,0.38349900141215987,0.38349900141215987
EleutherAI/pythia-1b-deduped,attention.dense,frobenius_norm,3000,4000,3000->4000,16.84917111341209,20.82129590287806,3.972124789465969,0.23574600570730075,0.23574600570730075,0.23574600570730075
EleutherAI/pythia-1b-deduped,attention.dense,frobenius_norm,4000,5000,4000->5000,20.82129590287806,24.158506238606495,3.337210335728436,0.16027870461545018,0.16027870461545018,0.16027870461545018
EleutherAI/pythia-1b-deduped,attention.dense,frobenius_norm,5000,6000,5000->6000,24.158506238606495,27.025782644383078,2.8672764057765825,0.11868599728216696,0.11868599728216696,0.11868599728216696
EleutherAI/pythia-1b-deduped,attention.dense,frobenius_norm,6000,7000,6000->7000,27.025782644383078,29.54540733631937,2.5196246919362935,0.09323040613071268,0.09323040613071268,0.09323040613071268
EleutherAI/pythia-1b-deduped,attention.dense,frobenius_norm,7000,8000,7000->8000,29.54540733631937,31.797213996888996,2.251806660569624,0.07621511644557571,0.07621511644557571,0.07621511644557571
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1,0,1,0->1,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1,1,2,1->2,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1,2,4,2->4,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1,4,8,4->8,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1,8,16,8->16,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1,16,32,16->32,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1,32,64,32->64,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1,64,128,64->128,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1,128,256,128->256,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1,256,512,256->512,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1,512,1000,512->1000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1,1000,2000,1000->2000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1,2000,3000,2000->3000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1,3000,4000,3000->4000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1,4000,5000,4000->5000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1,5000,6000,5000->6000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1,6000,7000,6000->7000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1,7000,8000,7000->8000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.1,0,1,0->1,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.1,1,2,1->2,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.1,2,4,2->4,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.1,4,8,4->8,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.1,8,16,8->16,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.1,16,32,16->32,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.1,32,64,32->64,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.1,64,128,64->128,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.1,128,256,128->256,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.1,256,512,256->512,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.1,512,1000,512->1000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.1,1000,2000,1000->2000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.1,2000,3000,2000->3000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.1,3000,4000,3000->4000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.1,4000,5000,4000->5000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.1,5000,6000,5000->6000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.1,6000,7000,6000->7000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.1,7000,8000,7000->8000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.25,0,1,0->1,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.25,1,2,1->2,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.25,2,4,2->4,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.25,4,8,4->8,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.25,8,16,8->16,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.25,16,32,16->32,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.25,32,64,32->64,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.25,64,128,64->128,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.25,128,256,128->256,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.25,256,512,256->512,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.25,512,1000,512->1000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.25,1000,2000,1000->2000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.25,2000,3000,2000->3000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.25,3000,4000,3000->4000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.25,4000,5000,4000->5000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.25,5000,6000,5000->6000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.25,6000,7000,6000->7000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,mp_outliers_x1.25,7000,8000,7000->8000,0.0,0.0,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,nuclear_norm,0,1,0->1,217.31165103469007,217.31165103469007,0.0,0.0,0.0,0.0
EleutherAI/pythia-1b-deduped,attention.dense,nuclear_norm,1,2,1->2,217.31165103469007,217.31211827548083,0.0004672407907548859,2.150095443710456e-06,2.150095443710456e-06,2.150095443710456e-06
EleutherAI/pythia-1b-deduped,attention.dense,nuclear_norm,2,4,2->4,217.31211827548083,217.31314418843797,0.001025912957146602,4.720919225710526e-06,4.720919225710526e-06,4.720919225710526e-06
EleutherAI/pythia-1b-deduped,attention.dense,nuclear_norm,4,8,4->8,217.31314418843797,217.31202817903628,-0.0011160094016986477,-5.1354896449840205e-06,-5.1354896449840205e-06,5.1354896449840205e-06
EleutherAI/pythia-1b-deduped,attention.dense,nuclear_norm,8,16,8->16,217.31202817903628,217.31328230684758,0.001254127811307626,5.771092478481612e-06,5.771092478481612e-06,5.771092478481612e-06
EleutherAI/pythia-1b-deduped,attention.dense,nuclear_norm,16,32,16->32,217.31328230684758,217.32289359110524,0.009611284257658781,4.4227780997240426e-05,4.4227780997240426e-05,4.4227780997240426e-05
EleutherAI/pythia-1b-deduped,attention.dense,nuclear_norm,32,64,32->64,217.32289359110524,217.35055620855337,0.027662617448129367,0.0001272880964864046,0.0001272880964864046,0.0001272880964864046
EleutherAI/pythia-1b-deduped,attention.dense,nuclear_norm,64,128,64->128,217.35055620855337,217.44320114168528,0.09264493313190769,0.00042624658868142996,0.00042624658868142996,0.00042624658868142996
EleutherAI/pythia-1b-deduped,attention.dense,nuclear_norm,128,256,128->256,217.44320114168528,217.95144042480803,0.508239283122748,0.0023373427196354537,0.0023373427196354537,0.0023373427196354537
EleutherAI/pythia-1b-deduped,attention.dense,nuclear_norm,256,512,256->512,217.95144042480803,222.99675857403227,5.045318149224244,0.02314881764208769,0.02314881764208769,0.02314881764208769
EleutherAI/pythia-1b-deduped,attention.dense,nuclear_norm,512,1000,512->1000,222.99675857403227,255.60582752815426,32.609068954121994,0.14623113431173945,0.14623113431173945,0.14623113431173945
